ticker,date,score_100,score_equal,score_risk2x,score_risk4x,score_risk_only,20거래일(약1개월),60거래일(약3개월),120거래일(약6개월)
035720.KS,2023-05-25,17.1,28.5,31.8,36.5,55.8,-11.816578483245156,-14.197530864197528,-13.13932980599647
035720.KS,2023-06-26,10.4,22.8,28.0,35.3,65.5,-0.3000000000000002,-4.300000000000004,7.600000000000007
035720.KS,2023-07-24,13.5,25.4,28.8,33.7,53.9,-2.407221664994985,-20.5616850551655,15.546639919759286
035720.KS,2023-08-22,12.0,24.2,27.1,31.3,48.5,-1.6443987667009274,1.2332990750256956,20.657759506680364
035720.KS,2023-09-19,17.5,28.8,33.1,39.1,63.7,-17.24137931034483,12.434691745036574,10.553814002089856
035720.KS,2023-10-24,12.1,24.2,27.4,31.8,50.1,24.368686868686872,45.45454545454546,23.989898989898983
035720.KS,2023-11-21,60.9,66.3,63.8,60.2,45.6,9.238578680203036,19.187817258883257,-6.700507614213203
035720.KS,2023-12-19,61.9,67.2,65.2,62.5,51.2,7.063197026022294,-1.6728624535315983,-20.44609665427509
035720.KS,2024-01-19,56.4,62.4,61.1,59.1,51.1,1.909722222222232,-14.756944444444445,-28.47222222222222
035720.KS,2024-02-20,47.3,54.6,53.6,52.3,46.8,-9.880749574105618,-21.7206132879046,-37.3083475298126
035720.KS,2024-03-20,11.3,23.5,27.6,33.4,57.1,-7.183364839319473,-19.092627599243865,-33.175803402646494
035720.KS,2024-04-18,23.5,34.0,36.6,40.2,55.1,-6.41547861507128,-16.08961303462322,-21.588594704684315
035720.KS,2024-05-21,10.7,23.0,26.9,32.5,55.4,-6.855277475516863,-19.91294885745375,-25.897714907508163
035720.KS,2024-06-19,17.9,29.2,32.7,37.7,58.1,-3.738317757009346,-17.40654205607477,7.242990654205617
035720.KS,2024-07-17,16.2,27.7,31.4,36.6,57.9,-10.679611650485432,-6.553398058252425,-10.194174757281548
035720.KS,2024-08-14,7.1,19.9,23.2,27.9,47.1,-3.940217391304346,-7.472826086956519,5.842391304347827
035720.KS,2024-09-12,24.9,35.2,37.7,41.1,55.2,8.910891089108919,29.84441301272984,22.4893917963225
035720.KS,2024-10-18,54.7,60.9,61.4,62.0,64.6,-11.558441558441556,-3.8961038961038974,-1.9480519480519431
035720.KS,2024-11-15,16.2,27.8,30.5,34.3,49.9,34.801762114537446,14.390602055800294,7.048458149779746
