ticker,date,score_100,score_nonlinear,20거래일(약1개월),60거래일(약3개월),120거래일(약6개월)
035420.KS,2024-01-19,38.9,83.6,-6.032482598607891,-16.148491879350345,-19.535962877030165
035420.KS,2024-02-20,9.2,90.7,-9.580246913580249,-9.530864197530864,-22.32098765432099
035420.KS,2024-03-20,7.2,91.9,-1.3107591480065572,-8.301474604041504,-12.61605679956308
035420.KS,2024-04-18,16.1,93.9,1.3835085777531786,-4.039845047039292,-2.1582733812949617
035420.KS,2024-05-21,16.3,93.0,-8.351528384279472,-14.137554585152834,3.711790393013104
035420.KS,2024-06-19,14.8,92.9,3.275759380583687,-4.70518165574747,25.07444907683145
035420.KS,2024-07-17,22.1,93.8,-9.28489042675894,1.9607843137254832,19.08881199538639
035420.KS,2024-08-14,16.0,91.8,1.7164653528289886,20.788302606484432,41.44945963127782
035420.KS,2024-09-12,19.9,93.0,10.499999999999998,31.25,30.000000000000004
035420.KS,2024-10-18,49.5,83.2,7.466063348416285,16.798642533936658,4.2986425339366585
035420.KS,2024-11-15,70.9,70.8,10.526315789473696,17.105263157894733,-2.421052631578946
035420.KS,2024-12-13,64.3,67.2,-1.6666666666666718,-0.952380952380949,15.952380952380963
035420.KS,2025-01-15,35.4,90.7,7.748184019370452,-10.702179176755443,21.06537530266344
035420.KS,2025-02-18,48.1,77.6,-6.516853932584265,-16.674157303370784,1.1235955056179805
035420.KS,2025-03-19,12.8,91.7,-11.34615384615385,17.067307692307686,12.01923076923077
035420.KS,2025-04-16,10.5,92.0,0.5422993492407713,35.57483731019522,38.55748373101952
035420.KS,2025-05-19,13.0,92.1,31.337648327939597,21.359223300970864,36.731391585760505
035420.KS,2025-06-18,77.4,61.2,2.6694045174537884,-4.312114989733063,0.4106776180698102
035420.KS,2025-07-16,43.3,73.4,-9.999999999999998,2.200000000000002,3.8000000000000034
035720.KS,2022-09-01,10.5,90.7,-21.70868347338936,-21.00840336134454,-13.305322128851538
035720.KS,2022-10-04,4.8,89.7,-6.440071556350624,-4.114490161001793,8.586762075134157
035720.KS,2022-11-02,18.4,89.5,7.839388145315485,21.032504780114717,7.074569789674956
035720.KS,2022-11-30,27.8,88.5,-4.964539007092195,9.751773049645385,0.5319148936170137
035720.KS,2022-12-28,17.5,92.4,18.097014925373145,13.24626865671641,-6.716417910447758
035720.KS,2023-01-30,52.8,67.9,-2.211690363349128,-11.532385466034755,-21.24802527646129
035720.KS,2023-02-27,40.1,88.2,-1.9386106623586417,-8.400646203554118,-21.405492730210018
035720.KS,2023-03-28,15.8,92.9,-7.742998352553543,-17.627677100494232,-21.169686985172987
035720.KS,2023-04-25,7.2,91.5,1.2499999999999956,-10.982142857142865,-29.28571428571428
035720.KS,2023-05-25,17.1,93.6,-11.816578483245156,-14.197530864197528,-13.13932980599647
035720.KS,2023-06-26,10.4,92.1,-0.3000000000000002,-4.300000000000004,7.600000000000007
035720.KS,2023-07-24,13.5,92.8,-2.407221664994985,-20.5616850551655,15.546639919759286
035720.KS,2023-08-22,12.0,91.2,-1.6443987667009274,1.2332990750256956,20.657759506680364
035720.KS,2023-09-19,17.5,94.5,-17.24137931034483,12.434691745036574,10.553814002089856
035720.KS,2023-10-24,12.1,89.2,24.368686868686872,45.45454545454546,23.989898989898983
035720.KS,2023-11-21,60.9,76.0,9.238578680203036,19.187817258883257,-6.700507614213203
035720.KS,2023-12-19,61.9,67.3,7.063197026022294,-1.6728624535315983,-20.44609665427509
035720.KS,2024-01-19,56.4,68.1,1.909722222222232,-14.756944444444445,-28.47222222222222
