ticker,date,score_100,sub_추세,sub_거래량,sub_모멘텀,sub_패턴점수,sub_리스크,20거래일(약1개월),60거래일(약3개월),120거래일(약6개월)
066570.KS,2024-08-14,9.4,21.3,17.5,29.9,15.9,-37.5,7.112970711297062,-7.426778242677823,-16.631799163179917
066570.KS,2024-09-12,34.9,71.7,36.4,63.6,28.1,-25.4,-4.98046875,-13.76953125,-20.01953125
066570.KS,2024-10-18,9.2,39.5,8.1,30.5,5.2,-37.4,-9.04419321685509,-13.360739979445013,-28.776978417266186
066570.KS,2024-11-15,6.7,13.0,16.5,29.0,7.3,-32.5,-0.2259887005649719,-9.943502824858752,-20.56497175141243
066570.KS,2024-12-13,22.9,25.5,41.4,43.7,33.2,-29.1,-4.530011325028315,-7.248018120045296,-16.421291053227637
066570.KS,2025-01-15,11.5,23.2,25.7,30.1,9.6,-31.3,-5.456702253855283,-17.79359430604982,-10.55753262158956
066570.KS,2025-02-18,14.8,17.8,40.3,29.1,20.1,-33.4,2.7603513174403904,-11.794228356336255,-1.7565872020075313
066570.KS,2025-03-19,27.3,50.8,39.0,50.4,28.5,-32.4,-15.384615384615385,-9.890109890109889,-7.326007326007322
066570.KS,2025-04-16,11.3,23.0,27.4,31.5,18.4,-44.0,1.443001443001446,8.802308802308811,21.50072150072151
066570.KS,2025-05-19,18.9,54.0,19.4,37.2,17.5,-33.8,4.97866287339972,11.379800853485067,28.307254623044088
066570.KS,2025-06-18,35.3,71.4,49.8,44.5,43.5,-32.9,2.1680216802167918,2.8455284552845628,30.62330623306233
066570.KS,2025-07-16,42.4,134.5,33.2,54.2,24.9,-35.0,3.8461538461538547,11.671087533156488,22.6790450928382
096770.KS,2022-09-01,17.2,78.5,15.0,24.3,3.8,-35.8,-13.725489833637983,0.2801135463569082,-12.012571652708736
096770.KS,2022-10-04,10.1,13.0,38.9,24.5,12.9,-38.8,19.15583963429801,5.073866495893764,9.572231433856103
096770.KS,2022-11-02,48.4,44.8,80.5,88.9,65.3,-37.5,-2.452311323875911,-4.493105082668524,-1.3377085413112444
096770.KS,2022-11-30,38.1,85.5,48.4,45.4,41.8,-30.5,-9.60125549690024,-12.258347906021328,7.2654749596459345
096770.KS,2022-12-28,16.7,24.3,35.5,34.5,15.9,-26.8,8.30670493299146,4.281145338967929,9.584664243585884
096770.KS,2023-01-30,27.2,61.3,2.4,67.7,32.3,-27.7,-10.383482053304228,3.3038416169727913,15.929207455110795
096770.KS,2023-02-27,17.5,50.5,43.7,21.0,16.9,-44.7,7.439105476279262,22.251487634123414,18.989721800601878
096770.KS,2023-03-28,27.6,55.1,28.9,71.8,22.2,-40.1,7.291674406581539,5.085788890579179,2.7417483382484287
096770.KS,2023-04-25,32.7,148.5,6.6,58.1,1.6,-51.4,6.053680715912968,12.22158405778362,-17.770644065257525
096770.KS,2023-05-25,40.0,82.3,39.4,72.5,33.7,-27.7,-7.646742177380728,-2.668078643986249,-21.804524198727936
096770.KS,2023-06-26,14.6,54.8,18.7,27.1,7.9,-35.5,14.577259068356806,-2.230597093172604,-17.354487676810948
096770.KS,2023-07-24,58.3,36.6,100.0,90.7,96.7,-32.3,-8.017618913292479,-26.72589981228384,-40.96498027429393
096770.KS,2023-08-22,15.1,66.8,6.4,29.7,13.1,-40.5,-7.2316384180791005,-19.661016949152543,-28.8135593220339
096770.KS,2023-09-19,16.5,13.6,45.0,29.4,23.2,-28.8,-14.129110840438486,-15.468940316686963,-27.101096224116926
096770.KS,2023-10-24,5.9,13.0,24.0,16.4,9.2,-33.3,0.8510638297872353,-19.43262411347517,-24.680851063829788
096770.KS,2023-11-21,12.9,32.4,14.5,45.7,17.3,-45.4,-2.390998593530236,-11.392405063291145,-25.668073136427573
096770.KS,2023-12-19,27.6,43.0,47.2,40.3,39.2,-31.7,-18.155619596541783,-13.760806916426516,-24.567723342939484
096770.KS,2024-01-19,5.3,25.5,23.9,10.5,6.0,-39.3,10.915492957746476,-6.51408450704225,5.3697183098591506
096770.KS,2024-02-20,25.0,53.9,22.4,64.8,23.6,-39.7,-5.000000000000004,-16.11111111111111,-17.93650793650794
096770.KS,2024-03-20,18.3,36.1,37.4,31.2,23.2,-36.3,-11.27819548872181,-12.531328320802004,-6.934001670843781
096770.KS,2024-04-18,7.0,21.3,17.6,22.4,10.8,-37.1,-0.47080979284369606,12.711864406779672,5.555555555555558
096770.KS,2024-05-21,10.5,32.5,16.3,32.1,12.6,-40.8,-0.9460737937559083,-2.1759697256386046,-9.082308420056762
096770.KS,2024-06-19,19.8,31.1,42.8,38.3,29.6,-42.8,14.326647564469909,6.399235912129897,15.090735434574976
096770.KS,2024-07-17,57.2,107.3,81.0,90.7,54.9,-48.1,-13.617376775271516,-6.349206349206349,4.511278195488733
096770.KS,2024-08-14,9.6,22.4,15.9,36.5,20.6,-47.2,7.736943907156668,-7.059961315280461,24.56479690522244
096770.KS,2024-09-12,46.5,103.2,39.9,76.7,44.6,-31.7,0.6283662477558405,8.16876122082586,11.849192100538609
096770.KS,2024-10-18,29.3,129.9,9.4,38.8,7.3,-38.8,-14.27297056199821,11.59678858162354,-16.057091882248
096770.KS,2024-11-15,1.7,26.2,13.6,17.4,3.4,-52.1,25.390218522372532,34.027055150884486,-8.740894901144635
096770.KS,2024-12-13,46.9,97.8,45.7,91.6,47.2,-47.6,3.817427385892125,3.4024896265560267,-16.099585062240664
096770.KS,2025-01-15,48.9,147.1,38.1,63.9,33.2,-37.7,2.9576338928856805,-24.780175859312546,-10.391686650679455
096770.KS,2025-02-18,45.7,103.9,45.9,68.0,46.9,-36.0,-3.2608695652173947,-31.90993788819876,-17.391304347826086
096770.KS,2025-03-19,24.3,108.2,18.3,33.7,7.8,-46.3,-24.47833065810594,-18.86035313001605,-12.921348314606739
096770.KS,2025-04-16,4.3,13.0,30.0,16.9,13.9,-52.1,-6.80127523910733,19.128586609989373,23.910733262486715
096770.KS,2025-05-19,6.6,13.0,26.3,15.9,10.7,-32.7,15.279361459521091,21.322690992018245,39.908779931584945
096770.KS,2025-06-18,50.8,55.4,95.5,69.9,80.0,-46.7,10.880316518298706,7.319485657764591,12.660731948565784
096770.KS,2025-07-16,47.1,200.0,7.4,70.3,8.2,-50.4,-5.0847457627118615,4.014272970562005,-7.314897413024091
017670.KS,2022-09-01,30.1,28.8,49.7,42.3,43.9,-14.3,-2.8625954198473247,-4.580152671755721,-14.217557251908397
017670.KS,2022-10-04,23.2,44.7,30.8,41.2,21.8,-22.5,-1.178781925343808,-5.304518664047153,-4.715127701375243
017670.KS,2022-11-02,23.1,34.7,28.8,41.2,31.9,-21.0,-0.5964214711729587,-4.8707753479125255,-5.069582504970183
017670.KS,2022-11-30,31.1,45.1,50.5,38.6,35.2,-14.1,-3.600000000000003,-10.099999999999998,-0.8000000000000007
017670.KS,2022-12-28,22.9,36.3,21.6,43.0,30.2,-16.7,-0.7261410788381717,0.6224066390041472,-1.763485477178428
017670.KS,2023-01-30,13.4,25.3,2.3,38.6,20.9,-20.0,-6.060606060606055,-0.2089864158829724,-5.224660397074188
017670.KS,2023-02-27,30.7,27.1,69.9,33.8,47.4,-24.9,7.8976640711902135,10.344827586206895,4.894327030033363
017670.KS,2023-03-28,44.4,123.7,23.9,64.1,31.6,-21.3,-1.546391752577314,-2.3711340206185594,4.329896907216502
017670.KS,2023-04-25,33.7,87.5,32.8,38.8,26.2,-16.6,3.874345549738223,-5.026178010471205,4.188481675392675
017670.KS,2023-05-25,40.0,118.3,16.9,58.8,23.0,-17.2,-4.5362903225806495,-4.939516129032262,5.040322580645151
017670.KS,2023-06-26,18.1,29.1,22.2,37.0,19.0,-17.0,-4.223864836325242,6.863780359028504,5.385427666314668
017670.KS,2023-07-24,13.9,18.9,20.7,34.6,19.3,-23.9,3.969128996692395,9.70231532524808,9.040793825799343
